;office_name;county_id;candidate_name;party_affiliation;county_num_precincts_reporting;county_total_num_precincts_voting;candidate_votes;candidate_percent_vote
233;COUNTY COMMISSIONER DISTRICT 4;17;MARK H HALL                                    ;NP;29;29;458;40.64
234;COUNTY COMMISSIONER DISTRICT 4;17;WRITE IN                                       ;WI;29;29;7;0.62
235;SOIL AND WATER SUPERVISOR DISTRICT 2;17;VERLYN NICKEL                                  ;NP;29;29;5377;99.65
236;SOIL AND WATER SUPERVISOR DISTRICT 2;17;WRITE IN                                       ;WI;29;29;19;0.35
237;SOIL AND WATER SUPERVISOR DISTRICT 4;17;TOM MULLER                                     ;NP;29;29;5201;99.77
238;SOIL AND WATER SUPERVISOR DISTRICT 4;17;WRITE IN                                       ;WI;29;29;12;0.23
239;SOIL AND WATER SUPERVISOR DISTRICT 5;17;JIM BLOCH                                      ;NP;29;29;5150;99.71
240;SOIL AND WATER SUPERVISOR DISTRICT 5;17;WRITE IN                                       ;WI;29;29;15;0.29
241;COUNTY QUESTION 1;18;YES                                            ;NP;59;59;12533;47.66
242;COUNTY QUESTION 1;18;NO                                             ;NP;59;59;13766;52.34
243;COUNTY COMMISSIONER DISTRICT 1;18;DEWAYNE "DEWEY" TAUTGES                        ;NP;59;59;2940;62.1
244;COUNTY COMMISSIONER DISTRICT 1;18;JAMES (JIM) HILL                               ;NP;59;59;1771;37.41
245;COUNTY COMMISSIONER DISTRICT 1;18;WRITE IN                                       ;WI;59;59;23;0.49
246;COUNTY COMMISSIONER DISTRICT 3;18;MARY KOEP                                      ;NP;59;59;2074;44.68
247;COUNTY COMMISSIONER DISTRICT 3;18;TERRY L. SLUSS                                 ;NP;59;59;2550;54.93
248;COUNTY COMMISSIONER DISTRICT 3;18;WRITE IN                                       ;WI;59;59;18;0.39
249;COUNTY COMMISSIONER DISTRICT 5;18;JOHN "JINX" FERRARI                            ;NP;59;59;4326;98.9
250;COUNTY COMMISSIONER DISTRICT 5;18;WRITE IN                                       ;WI;59;59;48;1.1
251;SOIL AND WATER SUPERVISOR DISTRICT 1;18;LEONARD KOERING                                ;NP;59;59;22652;99.39
252;SOIL AND WATER SUPERVISOR DISTRICT 1;18;WRITE IN                                       ;WI;59;59;138;0.61
