state;county_id;precinct_name;office_id;office_name;district;candidate_order_code;candidate_name;suffix;incumbent_code;party_affiliation;county_num_precincts_reporting;county_total_num_precincts_voting;candidate_votes;candidate_percent_vote;total_race_votes
MN;58;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;JOHN H. REUER                                  ;NA;NA;NP;48;48;104;11.89;NA
MN;58;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;HOWARD THOMSEN                                 ;NA;NA;NP;48;48;420;48;NA
MN;59;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;SUSIE OTTO                                     ;NA;NA;NP;24;24;49;17.5;NA
MN;59;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;HARRY L. HANSEN                                ;NA;NA;NP;24;24;84;30;NA
MN;59;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;ERV PRIBYL                                     ;NA;NA;NP;24;24;147;52.5;NA
MN;60;NA;NA;COUNTY COMMISSIONER DISTRICT 1;NA;NA;EUGENE "GENE" DUFAULT                          ;NA;NA;NP;85;85;421;27.68;NA
MN;60;NA;NA;COUNTY COMMISSIONER DISTRICT 1;NA;NA;LARRY ALTRINGER                                ;NA;NA;NP;85;85;389;25.58;NA
MN;60;NA;NA;COUNTY COMMISSIONER DISTRICT 1;NA;NA;RAY CHRISTIAN                                  ;NA;NA;NP;85;85;222;14.6;NA
MN;60;NA;NA;COUNTY COMMISSIONER DISTRICT 1;NA;NA;GERALD "JERRY" JACOBSON                        ;NA;NA;NP;85;85;489;32.15;NA
MN;60;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;LYNN WILLHITE                                  ;NA;NA;NP;85;85;132;11;NA
MN;60;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;RAY ECKLUND                                    ;NA;NA;NP;85;85;73;6.08;NA
MN;60;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;DON DIEDRICH                                   ;NA;NA;NP;85;85;378;31.5;NA
MN;60;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;BILL MONTAGUE                                  ;NA;NA;NP;85;85;567;47.25;NA
MN;60;NA;NA;COUNTY COMMISSIONER DISTRICT 3;NA;NA;JERRY DUPHORN                                  ;NA;NA;NP;85;85;50;4.17;NA
MN;60;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;RICHARD KUZEL                                  ;NA;NA;NP;85;85;110;17.68;NA
MN;60;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;EUGENE "JEEP" MATTSON                          ;NA;NA;NP;85;85;265;42.6;NA
MN;60;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;HENRY VASEK                                    ;NA;NA;NP;85;85;170;27.33;NA
MN;60;NA;NA;COUNTY COMMISSIONER DISTRICT 5;NA;NA;DAVID "DAVE" TUCKER                            ;NA;NA;NP;85;85;77;12.38;NA
MN;61;NA;NA;COUNTY COMMISSIONER DISTRICT 1;NA;NA;IVER AAL                                       ;NA;NA;NP;30;30;178;25.36;NA
